"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
,,[8.5-10.6],,[9.7-13.0],,[6.2-8.8],,[8.4-14.9],,[8.1-10.3],,,,,,,,[4.1-7.7],,[2.7-6.9],,,,,,,,,,
"Human Papillomavirus (HPV) vaccine  (n=10,285); (n(000s)=27,271)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"8,247",34.00%,"4,099",32.70%,"4,092",35.60%,780,46.30%,"3,448",38.70%,"2,324",29.10%,"1,594",30.30%,102,22.90%,"2,591",35.30%,810,37.5%+,,,,,,,,,,
,,[33.1-34.9],,[31.5-34.0],,[34.2-36.9],,[41.8-50.9],,[37.1-40.3],,[27.7-30.6],,[28.5-32.2],,[17.8-29.1],,[33.7-37.0],,[34.5-40.6],,,,,,,,,,
Somewhat likely,"5,636",23.20%,"3,054",24.40%,"2,528",22.00%,414,24.60%,"2,263",25.40%,"1,834",23.00%,"1,033",19.70%,93,20.80%,"1,648",22.5%-,557,25.80%,,,,,,,,,,
,,[22.4-24.0],,[23.2-25.6],,[20.8-23.2],,[20.8-28.7],,[24.0-26.8],,[21.6-24.4],,[18.1-21.3],,[15.9-26.8],,[21.1-23.9],,[23.1-28.7],,,,,,,,,,
Somewhat unlikely,"3,732",15.40%,"1,901",15.20%,"1,798",15.60%,118,7.00%,"1,022",11.5%-,"1,491",18.70%,"1,034",19.70%,68,15.40%,"1,176",16.00%,307,14.20%,,,,,,,,,,
,,[14.7-16.1],,[14.2-16.2],,[14.6-16.7],,[5.0-9.7],,[10.5-12.5],,[17.4-20.0],,[18.1-21.3],,[11.1-20.8],,[14.8-17.3],,[12.1-16.6],,,,,,,,,,
Very unlikely,"4,007",16.5%+,"1,962",15.70%,"2,003",17.40%,122,7.20%,"1,196",13.40%,"1,492",18.70%,"1,081",20.60%,116,26.00%,"1,280",17.5%-,333,15.40%,,,,,,,,,,
,,[15.8-17.2],,[14.7-16.7],,[16.4-18.5],,[5.2-10.0],,[12.4-14.6],,[17.4-20.0],,[19.0-22.3],,[20.6-32.3],,[16.2-18.8],,[13.3-17.9],,,,,,,,,,
Don't know,"2,648",10.90%,"1,509",12.10%,"1,082",9.40%,250,14.90%,977,11.00%,842,10.60%,513,9.80%,66,14.90%,637,8.70%,152,7.00%,,,,,,,,,,
,,[10.3-11.5],,[11.2-13.0],,[8.6-10.3],,[11.9-18.4],,[10.0-12.0],,[9.6-11.6],,[8.6-11.0],,[10.7-20.3],,[7.8-9.7],,[5.6-8.8],,,,,,,,,,
"Shingles vaccine  (n=4,063); (n(000s)=8,915)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"4,098",46.00%,"1,931",43.70%,"2,137",48.40%,N/A,N/A,N/A,N/A,"2,893",46.60%,"1,149",45.5%+,56,30.30%,"1,612",50.70%,395,52.20%,,,,,,,,,,
,,[44.4-47.5],,[41.5-45.8],,[46.2-50.6],,,,,,[44.8-48.5],,[42.7-48.4],,[21.8-40.5],,[48.1-53.2],,[47.0-57.4],,,,,,,,,,
Somewhat likely,"2,597",29.10%,"1,338",30.30%,"1,236",28.00%,N/A,N/A,N/A,N/A,"1,824",29.40%,708,28.10%,64,34.80%,873,27.40%,224,29.5%+,,,,,,,,,,
,,[27.8-30.5],,[28.3-32.3],,[26.1-30.0],,,,,,[27.7-31.1],,[25.5-30.7],,[25.7-45.2],,[25.2-29.8],,[25.0-34.5],,,,,,,,,,
Somewhat unlikely,949,10.60%,536,12.10%,405,9.20%,N/A,N/A,N/A,N/A,605,9.70%,322,12.80%,22,12.00%,307,9.70%,61,8.00%,,,,,,,,,,
,,[9.7-11.6],,[10.8-13.6],,[8.0-10.5],,,,,,[8.7-10.9],,[11.0-14.8],,[6.7-20.3],,[8.3-11.3],,[5.6-11.4],,,,,,,,,,
Very unlikely,750,8.40%,373,8.40%,372,8.40%,N/A,N/A,N/A,N/A,500,8.10%,224,8.90%,26,14.30%,268,8.40%,46,6.10%,,,,,,,,,,
,,[7.6-9.3],,[7.3-9.7],,[7.3-9.7],,,,,,[7.1-9.1],,[7.4-10.6],,[8.5-23.0],,[7.1-10.0],,[4.1-9.1],,,,,,,,,,
Don't know,521,5.80%,245,5.5%+,266,6.00%,N/A,N/A,N/A,N/A,384,6.20%,121,4.80%,16,8.60%,122,3.80%,31,4.10%,,,,,,,,,,
,,[5.2-6.6],,[4.6-6.6],,[5.0-7.2],,,,,,[5.4-7.1],,[3.7-6.2],,[4.3-16.3],,[3.0-4.9],,[2.5-6.7],,,,,,,,,,
"Pneumococcal (pneumonia) vaccine  (n=4,065); (n(000s)=9,455)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"4,052",42.90%,"1,803",37.80%,"2,209",48.10%,435,52.30%,"1,288",42.20%,"1,161",42.60%,"1,099",41.10%,69,39.40%,"2,680",48.30%,385,51.20%,,,,,,,,,,
,,[41.3-44.4],,[35.8-40.0],,[45.9-50.3],,[45.8-58.6],,[39.5-45.0],,[39.9-45.4],,[38.4-43.9],,[29.8-49.9],,[46.3-50.3],,[45.9-56.6],,,,,,,,,,
Somewhat likely,"2,704",28.60%,"1,441",30.20%,"1,241",27.00%,223,26.80%,776,25.5%-,821,30.10%,837,31.30%,48,27.20%,"1,513",27.30%,219,29.10%,,,,,,,,,,
,,[27.2-30.0],,[28.3-32.3],,[25.1-29.0],,[21.4-32.8],,[23.1-27.9],,[27.7-32.7],,[28.8-33.9],,[19.0-37.4],,[25.5-29.1],,[24.5-34.2],,,,,,,,,,
Somewhat unlikely,"1,090",11.5%+,597,12.5%+,483,10.5%+,45,5.30%,361,11.90%,330,12.10%,335,12.5%+,19,11.00%,532,9.60%,78,10.30%,,,,,,,,,,
,,[10.6-12.5],,[11.2-12.4],,[9.2-12.0],,[3.1-9.1],,[10.2-13.7],,[10.4-14.0],,[10.8-14.5],,[6.0-19.3],,[8.5-10.8],,[7.5-14.1],,,,,,,,,,
Very unlikely,884,9.40%,522,10.90%,350,7.60%,37,4.40%,303,10.00%,258,9.5%-,254,9.5%-,,,456,8.20%,46,6.10%,,,,,,,,,,
,,[8.5-10.3],,[9.7-12.4],,[6.5-8.9],,[2.4-7.9],,[8.4-11.7],,[8.0-11.2],,[8.0-11.3],,,,[7.2-9.4],,[4.0-9.2],,,,,,,,,,
Don't know,724,7.70%,402,8.40%,313,6.80%,94,11.20%,320,10.5%+,155,5.70%,149,5.60%,#,#,365,6.60%,24,3.20%,,,,,,,,,,
,,[6.9-8.5],,[7.3-9.7],,[5.8-8.0],,[7.8-16.0],,[8.9-12.3],,[4.5-7.1],,[4.4-7.0],,,,[5.7-7.6],,[1.8-5.7],,,,,,,,,,
"Mpox (monkeypox) vaccine  (n=11,249); (n(000s)=27,349)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"9,372",34.30%,"4,334",33.20%,"4,938",35.30%,"1,283",42.5%+,"3,853",36.80%,"2,432",29.80%,"1,679",31.90%,125,28.20%,"3,053",37.80%,"1,042",37.5%-,,,,,,,,,,
,,[33.4-35.2],,[31.9-34.5],,[34.1-36.6],,[39.2-46.0],,[35.3-38.3],,[28.3-31.3],,[30.1-33.8],,[22.6-34.7],,[36.2-39.4],,[34.7-40.3],,,,,,,,,,
Somewhat likely,"6,913",25.30%,"3,306",25.30%,"3,534",25.30%,778,25.80%,"2,696",25.70%,"2,054",25.20%,"1,303",24.80%,81,18.20%,"2,005",24.80%,716,25.80%,,,,,,,,,,
,,[24.5-26.1],,[24.2-26.5],,[24.2-26.4],,[22.9-28.9],,[24.4-27.1],,[23.8-26.6],,[23.1-26.6],,[13.6-24.0],,[23.4-26.3],,[23.3-28.3],,,,,,,,,,
Somewhat unlikely,"4,136",15.10%,"2,056",15.70%,"2,052",14.70%,346,11.5%-,"1,288",12.30%,"1,539",18.90%,870,16.60%,92,20.70%,"1,243",15.40%,403,14.5%+,,,,,,,,,,
,,[14.5-15.8],,[14.8-16.7],,[13.8-15.6],,[9.5-13.9],,[11.3-13.3],,[17.6-20.2],,[15.1-18.1],,[15.8-26.7],,[14.2-16.6],,[12.6-16.7],,,,,,,,,,
Very unlikely,"3,915",14.30%,"1,947",14.90%,"1,918",13.70%,231,7.70%,"1,409",13.5%-,"1,281",15.70%,892,17.00%,102,23.00%,"1,077",13.30%,381,13.70%,,,,,,,,,,
,,[13.7-15.0],,[14.0-15.9],,[12.9-14.6],,[6.0-9.7],,[12.5-14.5],,[14.6-16.9],,[15.5-18.5],,[17.8-29.2],,[12.3-14.5],,[11.9-15.8],,,,,,,,,,
Don't know,"3,014",11.00%,"1,414",10.80%,"1,539",11.00%,377,12.5%+,"1,226",11.70%,854,10.5%-,512,9.70%,44,9.80%,698,8.60%,238,8.5%+,,,,,,,,,,
,,[10.5-11.6],,[10.0-11.7],,[10.2-11.8],,[10.4-15.0],,[10.8-12.7],,[9.5-11.5],,[8.6-11.0],,[6.5-14.6],,[7.8-9.6],,[7.1-10.3],,,,,,,,,,
"Polio vaccine  (n=3,353); (n(000s)=8,556)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"2,538",29.70%,"1,349",28.30%,"1,155",31.60%,556,37.70%,"1,134",30.90%,568,24.30%,238,25.5%+,42,32.60%,708,33.90%,206,35.10%,,,,,,,,,,
,,[28.1-31.2],,[26.3-30.4],,[29.3-34.0],,[33.1-42.5],,[28.5-33.3],,[21.8-26.9],,[21.5-30.0],,[22.1-45.1],,[30.8-37.1],,[29.4-41.3],,,,,,,,,,
Somewhat likely,"2,243",26.20%,"1,275",26.80%,944,25.90%,420,28.5%+,971,26.40%,589,25.10%,241,25.80%,23,17.60%,516,24.70%,159,27.10%,,,,,,,,,,
,,[24.8-27.7],,[24.8-28.8],,[23.7-28.2],,[24.3-33.1],,[24.2-28.7],,[22.6-27.8],,[21.8-30.3],,[10.0-29.1],,[21.9-27.6],,[21.9-33.0],,,,,,,,,,
Somewhat unlikely,"1,283",15.00%,742,15.60%,520,14.30%,150,10.20%,455,12.40%,505,21.60%,159,17.10%,14,10.70%,310,14.80%,95,16.20%,,,,,,,,,,
,,[13.8-16.2],,[14.0-17.3],,[12.5-16.1],,[7.6-13.5],,[10.8-14.2],,[19.2-24.1],,[13.7-21.1],,[5.1-21.0],,[12.6-17.3],,[12.1-21.4],,,,,,,,,,
Very unlikely,"1,018",11.90%,640,13.40%,356,9.70%,95,6.40%,431,11.70%,320,13.70%,140,15.00%,32,25.00%,235,11.20%,52,8.90%,,,,,,,,,,
,,[10.8-13.0],,[12.0-15.1],,[8.3-11.4],,[4.4-9.3],,[10.2-13.5],,[11.7-15.9],,[11.9-18.8],,[15.8-37.3],,[9.3-13.5],,[5.9-13.2],,,,,,,,,,
Don't know,"1,473",17.20%,760,15.90%,677,18.5%+,254,17.20%,686,18.60%,361,15.40%,155,16.60%,18,14.00%,323,15.40%,74,12.60%,,,,,,,,,,
,,[16.0-18.5],,[14.3-17.7],,[16.6-20.6],,[13.8-21.2],,[16.7-20.7],,[13.3-17.7],,[13.3-20.5],,[7.4-25.0],,[13.2-18.0],,[9.0-17.4],,,,,,,,,,
"Measles vaccine  (n=2,834); (n(000s)=7,193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"1,253",17.40%,723,17.90%,886,29.30%,435,36.90%,712,27.5%-,425,23.40%,371,26.5%-,50,24.5%-,589,31.10%,96,27.30%,,,,,,,,,,
,,[16.1-18.9],,[16.1-19.9],,[26.8-31.9],,[31.7-42.3],,[24.8-30.4],,[20.6-26.4],,[23.2-30.0],,[16.7-34.4],,[28.0-34.4],,[20.6-35.3],,,,,,,,,,
Somewhat likely,"1,992",27.70%,"1,077",26.70%,772,25.5%+,339,28.80%,688,26.60%,466,25.60%,299,21.40%,53,25.80%,494,26.10%,91,25.80%,,,,,,,,,,
,,[26.1-29.4],,[24.6-28.9],,[23.1-28.1],,[24.0-34.0],,[23.9-29.4],,[22.7-28.7],,[18.3-24.7],,[17.9-35.8],,[23.2-29.3],,[19.3-33.7],,,,,,,,,,
Somewhat unlikely,"1,845",25.60%,"1,049",26.00%,460,15.20%,115,9.80%,279,10.80%,322,17.70%,289,20.60%,22,10.60%,264,14.00%,66,18.60%,,,,,,,,,,
,,[24.1-27.3],,[23.9-28.2],,[13.3-17.3],,[7.0-13.6],,[9.0-12.9],,[15.2-20.4],,[17.7-24.0],,[5.7-18.7],,[11.7-16.5],,[13.1-25.9],,,,,,,,,,
Very unlikely,"1,027",14.30%,555,13.70%,424,14.00%,63,5.30%,325,12.60%,338,18.60%,291,20.80%,60,29.30%,290,15.30%,50,14.30%,,,,,,,,,,
,,[13.0-16.3],,[12.1-15.5],,[12.2-16.1],,[3.3-8.4],,[10.6-14.8],,[16.1-21.4],,[17.8-24.1],,[20.8-39.4],,[13.0-18.0],,[9.4-21.0],,,,,,,,,,
Don't know,"1,077",15.00%,633,15.70%,482,15.90%,227,19.30%,585,22.60%,269,14.80%,151,10.80%,20,9.90%,255,13.5%-,49,13.90%,,,,,,,,,,
,,[13.7-16.3],,[14.0-17.5],,[14.0-18.1],,[15.3-24.0],,[20.1-25.3],,[12.5-17.4],,[8.6-13.4],,[5.2-17.8],,[11.3-16.0],,[9.1-20.6],,,,,,,,,,
"Meningitis vaccine  (n=6,869); (n(000s)=16,507)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"5,875",35.60%,"2,826",33.10%,"2,992",38.5%-,653,37.90%,"1,697",35.10%,"1,791",33.00%,"1,572",38.10%,160,40.40%,"2,032",41.20%,556,41.40%,,,,,,,,,,
,,[34.5-36.7],,[31.6-34.7],,[36.8-40.2],,[33.6-42.4],,[33.0-37.3],,[31.2-34.9],,[35.9-40.3],,[33.7-47.6],,[39.1-43.3],,[37.4-45.5],,,,,,,,,,
Somewhat likely,"4,662",28.20%,"2,437",28.5%+,"2,182",28.00%,473,27.40%,"1,321",27.30%,"1,627",30.00%,"1,153",27.90%,89,22.30%,"1,361",27.60%,390,29.00%,,,,,,,,,,
,,[27.2-29.3],,[27.1-30.0],,[26.5-29.6],,[23.6-31.6],,[25.4-29.4],,[28.2-31.9],,[25.9-30.0],,[17.0-28.8],,[25.7-29.5],,[25.4-32.9],,,,,,,,,,
Somewhat unlikely,"2,247",13.60%,"1,263",14.80%,975,12.5%+,218,12.60%,535,11.10%,856,15.80%,581,14.10%,57,14.40%,573,11.60%,150,11.20%,,,,,,,,,,
,,[12.8-14.4],,[13.7-16.0],,[11.4-13.7],,[9.9-16.0],,[9.7-12.5],,[14.4-17.3],,[12.6-15.7],,[10.1-20.1],,[10.3-13.0],,[8.8-14.0],,,,,,,,,,
Very unlikely,"1,734",10.5%+,944,11.10%,757,9.70%,91,5.30%,487,10.10%,597,11.00%,495,12.00%,65,16.40%,523,10.60%,127,9.40%,,,,,,,,,,
,,[9.8-11.3],,[10.1-12.1],,[8.8-10.8],,[3.6-7.7],,[8.8-11.5],,[9.8-12.3],,[10.6-13.5],,[11.8-22.3],,[9.4-12.0],,[7.3-12.1],,,,,,,,,,
Don't know,"1,989",12.00%,"1,066",12.5%-,874,11.20%,289,16.80%,793,16.40%,552,10.20%,328,8.00%,26,6.40%,446,9.00%,120,8.90%,,,,,,,,,,
,,[11.3-12.8],,[11.4-13.6],,[10.2-12.4],,[13.7-20.4],,[14.8-18.1],,[9.0-11.4],,[6.8-9.3],,[3.7-10.9],,[7.9-10.3],,[6.9-11.6],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A = not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cells left blank were deliberate to avoid back calculation of suppressed numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¹ Among non-immunized individuals and those who responded ""Don't know"" or ""Prefer not to answer"" when asked about their vaccination status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Respondents' reasons for getting vaccinated, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B18. Excluding COVID-19 and flu vaccines, why did you get vaccinated? (n=11,093); (n(000s)=27,063)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To protect myself and/or household members,"16,634",61.5%-,"7,494",58.40%,"8,956",64.10%,"1,951",65.90%,"6,564",61.90%,"4,757",60.30%,"3,128",60.5%-,234,54.60%,"5,108",63.00%,"2,038",68.80%,,,,,,,,,,
,,[60.6-62.4],,[57.1-59.7],,[62.9-65.4],,[62.5-69.1],,[60.4-63.4],,[58.6-61.9],,[58.5-62.4],,[47.7-61.3],,[61.4-64.6],,[66.1-71.3],,,,,,,,,,
Based on public health recommendations,"14,532",53.70%,"6,547",51.00%,"7,832",56.10%,"1,535",51.80%,"5,723",54.00%,"4,102",52.00%,"2,933",56.70%,239,55.60%,"4,426",54.60%,"1,810",61.10%,,,,,,,,,,
,,[52.8-54.6],,[49.7-52.4],,[54.8-57.4],,[48.4-55.3],,[52.5-55.5],,[50.3-53.6],,[54.7-58.7],,[48.7-62.3],,[52.9-56.2],,[58.3-63.8],,,,,,,,,,
Based on health care provider recommendations,"14,756",54.5%+,"6,642",51.80%,"7,964",57.00%,"1,631",55.10%,"5,811",54.80%,"4,187",53.00%,"2,891",55.90%,236,54.90%,"4,699",57.90%,"1,707",57.60%,,,,,,,,,,
,,[53.6-55.4],,[50.4-53.1],,[55.7-58.3],,[51.6-58.5],,[53.3-56.3],,[51.4-54.7],,[53.9-57.9],,[48.0-61.6],,[56.3-59.6],,[54.8-60.4],,,,,,,,,,
Recommended in an immunization campaign,"6,110",22.60%,"3,146",24.5%+,"2,895",20.70%,510,17.20%,"2,257",21.30%,"1,796",22.80%,"1,425",27.5%+,122,28.5%+,"1,951",24.10%,641,21.60%,,,,,,,,,,
,,[21.85-23.4],,[23.4-25.7],,[19.7-21.8],,[14.7-20.0],,[20.1-22.5],,[21.4-24.2],,[25.8-29.4],,[22.7-35.1],,[22.7-25.5],,[19.4-24.0],,,,,,,,,,
The vaccine was available and free,"9,634",35.60%,"4,473",34.90%,"5,034",36.00%,"1,537",51.90%,"4,047",38.20%,"2,370",30.00%,"1,585",30.60%,95,22.20%,"2,949",36.40%,"1,181",39.80%,,,,,,,,,,
,,[34.7-36.5],,[33.6-36.2],,[34.8-37.3],,[48.4-55.4],,[36.7-39.6],,[28.5-31.5],,[28.8-32.5],,[17.0-28.4],,[34.8-38.0],,[37.1-42.6],,,,,,,,,,
"It was mandatory for work, school, travel or other",808,3.00%,347,2.70%,454,3.30%,132,4.40%,347,3.30%,237,3.00%,85,1.60%,#,#,276,3.40%,118,4.00%,,,,,,,,,,
,,[2.7-3.3],,[2.3-3.2],,[2.8-3.7],,[3.2-6.1],,[2.8-3.9],,[2.5-3.6],,[1.2-2.2],,,,[2.9-4.1],,[3.0-5.2],,,,,,,,,,
It was not my decision (vaccinated as a child),806,3.00%,386,3.00%,414,3.00%,97,3.30%,409,3.90%,197,2.5%-,101,1.90%,#,#,223,2.70%,47,1.60%,,,,,,,,,,
,,[2.7-3.3],,[2.6-3.5],,[2.6-3.4],,[2.2-4.7],,[3.3-4.5],,[2.0-3.1],,[1.5-2.6],,,,[2.3-3.3],,[1.0-2.5],,,,,,,,,,
Other reasons,991,3.70%,527,4.10%,442,3.20%,98,3.30%,421,4.00%,300,3.80%,159,3.10%,13,3.00%,316,3.90%,75,2.5%+,,,,,,,,,,
,,[3.3-4.0],,[3.6-4.7],,[2.7-3.7],,[2.3-4.8],,[3.4-4.6],,[3.2-4.5],,[2.5-3.9],,[1.4-6.4],,[3.3-4.6],,[1.8-3.6],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: respondents could select more than one reason; percentages will not sum to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Obstacles to vaccination, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B18. Excluding COVID-19 and flu vaccines, why did you get vaccinated? (n=11,093); (n(000s)=27,063)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No obstacles,"20,099",74.30%,"9,993",76.20%,"9,928",72.60%,"1,876",61.60%,"7,160",68.30%,"6,179",78.10%,"4,493",86.70%,391,87.70%,"5,927",74.00%,"2,004",71.5%+,,,,,,,,,,
,,[73.4-75.1],,[75.1-77.3],,[71.4-73.8],,[58.2-64.9],,[66.9-69.7],,[76.7-79.4],,[85.3-88.0],,[82.5-91.4],,[72.4-75.4],,[68.8-74.0],,,,,,,,,,
Difficulties booking time off work/school for a vaccine appointment,"2,667",9.90%,"1,265",9.60%,"1,354",9.90%,640,21.00%,"1,519",14.5%-,430,5.40%,76,1.5%-,#,#,727,9.10%,378,13.5%-,,,,,,,,,,
,,[9.3-10.4],,[8.9-10.5],,[9.1-10.7],,[18.4-23.9],,[13.5-15.6],,[4.7-6.2],,[1.1-2.0],,,,[8.2-10.1],,[11.6-15.6],,,,,,,,,,
Living in a remote area (limited transportation),386,1.40%,184,1.40%,191,1.40%,98,3.20%,179,1.70%,54,0.70%,46,0.90%,9,2.00%,153,1.90%,26,0.90%,,,,,,,,,,
,,[1.2-1.7],,[1.1-1.8],,[1.1-1.7],,[2.2-4.7],,[1.4-2.1],,[0.5-1.0],,[0.6-1.4],,[0.8-4.9],,[1.4-2.4],,[0.5-1.7],,,,,,,,,,
I don’t know how or where to get vaccinated,"1,710",6.30%,895,6.30%,785,5.70%,414,13.60%,908,8.70%,279,3.5%+,92,1.80%,17,3.90%,466,5.80%,168,6.00%,,,,,,,,,,
,,[5.9-6.8],,[6.2-7.5],,[5.2-6.4],,[11.4-16.1],,[7.9-9.6],,[3.0-4.2],,[1.3-2.4],,[2.0-7.5],,[5.1-6.6],,[4.8-7.5],,,,,,,,,,
"Language barrier (e.g., lack of access to relevant information in my preferred language)",202,0.70%,113,0.90%,83,0.60%,43,1.40%,109,1.00%,43,0.5%+,#,#,Nil,Nil,41,0.5%+,15,0.5%+,,,,,,,,,,
,,[0.6-0.9],,[0.6-1.1],,[0.4-0.8],,[0.8-2.5],,[0.8-1.4],,[0.3-0.8],,,,,,[0.3-0.8],,[0.2-1.2],,,,,,,,,,
Cost of the vaccine,"2,717",10.00%,966,7.40%,"1,716",12.5%+,273,9.00%,"1,167",11.10%,884,11.20%,385,7.40%,#,#,842,10.5%+,310,11.10%,,,,,,,,,,
,,[9.5-10.6],,[6.7-8.1],,[11.7-13.4],,[7.2-11.1],,[10.2-12.1],,[10.2-12.2],,[6.4-8.6],,,,[9.5-11.6],,[9.4-13.0],,,,,,,,,,
Concerns about of racism or discrimination,152,0.60%,83,0.60%,63,0.5%-,43,1.40%,81,0.80%,15,0.20%,#,#,#,#,38,0.5%-,#,#,,,,,,,,,,
,,[0.4-0.7],,[0.5-0.9],,[0.3-0.7],,[0.8-2.5],,[0.6-1.1],,[0.1-0.4],,,,,,[0.3-0.8],,,,,,,,,,,,
I am against vaccines,540,2.00%,264,2.00%,262,1.90%,82,2.70%,252,2.40%,129,1.60%,72,1.40%,#,#,167,2.10%,34,1.20%,,,,,,,,,,
,,[1.8-2.3],,[1.7-2.4],,[1.6-2.3],,[1.8-4.0],,[2.0-2.9],,[1.3-2.1],,[1.0-1.9],,,,[1.7-2.6],,[0.7-2.0],,,,,,,,,,
I do not have access to a doctor,126,0.5%-,59,0.5%-,65,0.5%-,#,#,77,0.70%,19,0.20%,15,0.30%,Nil,Nil,30,0.40%,11,0.40%,,,,,,,,,,
,,[0.4-0.6],,[0.3-0.7],,[0.3-0.7],,,,[0.5-1.0],,[0.1-0.5],,[0.1-0.6],,,,[0.2-0.6],,[0.2-0.9],,,,,,,,,,
