Public_health_unit,Antigen,Age,Year,Coverage
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,17,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,7,2023-2024,96.4
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,17,2023-2024,97.4
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,7,2023-2024,95.9
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,7,2023-2024,96.3
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,17,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,7,2023-2024,98.5
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,17,2023-2024,98.8
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,7,2023-2024,95.9
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,7,2023-2024,95.8
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,5,2023-2024,72.2
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,6,2023-2024,76.6
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,8,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,9,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,10,2023-2024,96.6
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,11,2023-2024,96.8
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,12,2023-2024,96.8
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,13,2023-2024,96.1
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,14,2023-2024,82.5
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,15,2023-2024,83.7
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,16,2023-2024,88
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,13,2023-2024,86.2
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,14,2023-2024,88.1
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,15,2023-2024,84
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,16,2023-2024,75.6
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,5,2023-2024,92
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,6,2023-2024,91.4
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,8,2023-2024,91
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,9,2023-2024,90.9
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,10,2023-2024,91.1
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,11,2023-2024,90.2
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,12,2023-2024,88.5
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,13,2023-2024,80.1
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,14,2023-2024,81.5
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,15,2023-2024,77.6
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,16,2023-2024,71
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,5,2023-2024,97.8
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,6,2023-2024,98.1
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,8,2023-2024,98.6
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,9,2023-2024,98.2
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,10,2023-2024,98.2
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,11,2023-2024,98.1
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,12,2023-2024,98.9
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,13,2023-2024,95.7
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,14,2023-2024,97.4
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,15,2023-2024,96.3
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,16,2023-2024,96.7
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,5,2023-2024,73.1
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,6,2023-2024,77.6
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,8,2023-2024,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,9,2023-2024,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,10,2023-2024,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,11,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,12,2023-2024,97.6
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,13,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,14,2023-2024,98.2
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,15,2023-2024,98.1
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,16,2023-2024,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,5,2023-2024,72.9
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,6,2023-2024,77.5
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,8,2023-2024,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,9,2023-2024,97.6
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,10,2023-2024,97.3
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,11,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,12,2023-2024,97.5
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,13,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,14,2023-2024,98.2
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,15,2023-2024,98.1
"Kingston, Frontenac and Lennox & Addington Public Health",Mumps,16,2023-2024,97.3
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,5,2023-2024,72.2
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,6,2023-2024,76.5
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,8,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,9,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,10,2023-2024,96.6
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,11,2023-2024,96.7
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,12,2023-2024,96.6
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,13,2023-2024,96.1
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,14,2023-2024,82.3
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,15,2023-2024,83.5
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,16,2023-2024,87.7
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,5,2023-2024,94.9
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,6,2023-2024,93.5
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,8,2023-2024,93.3
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,9,2023-2024,92
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,10,2023-2024,90.4
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,11,2023-2024,88.9
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,12,2023-2024,85
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,5,2023-2024,72.7
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,6,2023-2024,77
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,8,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,9,2023-2024,97.4
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,10,2023-2024,97.3
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,11,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,12,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,13,2023-2024,97.3
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,14,2023-2024,97.7
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,15,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Polio,16,2023-2024,96.3
"Kingston, Frontenac and Lennox & Addington Public Health",Rota,5,2023-2024,82.7
"Kingston, Frontenac and Lennox & Addington Public Health",Rota,6,2023-2024,85.9
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,5,2023-2024,97.8
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,6,2023-2024,98.4
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,8,2023-2024,98.8
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,9,2023-2024,98.7
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,10,2023-2024,98.7
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,11,2023-2024,98.5
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,12,2023-2024,99
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,13,2023-2024,98.5
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,14,2023-2024,99
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,15,2023-2024,98.7
"Kingston, Frontenac and Lennox & Addington Public Health",Rubella,16,2023-2024,98.4
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,5,2023-2024,72.2
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,6,2023-2024,76.6
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,8,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,9,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,10,2023-2024,96.6
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,11,2023-2024,96.8
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,12,2023-2024,96.8
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,13,2023-2024,96.1
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,14,2023-2024,82.5
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,15,2023-2024,83.7
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,16,2023-2024,88
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,5,2023-2024,70.8
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,6,2023-2024,75.2
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,8,2023-2024,96.8
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,9,2023-2024,96.9
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,10,2023-2024,96.5
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,11,2023-2024,96.1
"Kingston, Frontenac and Lennox & Addington Public Health",Varicella,12,2023-2024,95.7
Lambton Public Health,HepB,12,2023-2024,45.7
Lambton Public Health,HPV,12,2023-2024,40.8
Lambton Public Health,HepB,17,2023-2024,69.4
Lambton Public Health,HPV,17,2023-2024,61.2
Lambton Public Health,MCV4,12,2023-2024,62.7
Lambton Public Health,Diphtheria,17,2023-2024,79.7
Lambton Public Health,Pertussis,17,2023-2024,79.5
Lambton Public Health,Tetanus,17,2023-2024,79.7
Lambton Public Health,Hib,7,2023-2024,83.9
Lambton Public Health,Pneumo,7,2023-2024,83.5
Lambton Public Health,Rota,7,2023-2024,76.4
Lambton Public Health,Diphtheria,7,2023-2024,90.2
Lambton Public Health,MCC,7,2023-2024,93.9
Lambton Public Health,Measles,7,2023-2024,90
Lambton Public Health,Mumps,7,2023-2024,90
Lambton Public Health,Pertussis,7,2023-2024,90.2
Lambton Public Health,Polio,7,2023-2024,90.3
Lambton Public Health,Tetanus,7,2023-2024,90.3
Lambton Public Health,Varicella,7,2023-2024,89.2
Lambton Public Health,MCV4,17,2023-2024,95.6
Lambton Public Health,Measles,17,2023-2024,96.5
Lambton Public Health,Mumps,17,2023-2024,96.5
Lambton Public Health,Polio,17,2023-2024,96
Lambton Public Health,Rubella,7,2023-2024,95.2
Lambton Public Health,Rubella,17,2023-2024,97.9
Lambton Public Health,Diphtheria,5,2023-2024,64.1
Lambton Public Health,Diphtheria,6,2023-2024,74
Lambton Public Health,Diphtheria,8,2023-2024,91.1
Lambton Public Health,Diphtheria,9,2023-2024,91
Lambton Public Health,Diphtheria,10,2023-2024,93.2
Lambton Public Health,Diphtheria,11,2023-2024,95.3
Lambton Public Health,Diphtheria,12,2023-2024,96
Lambton Public Health,Diphtheria,13,2023-2024,95.5
Lambton Public Health,Diphtheria,14,2023-2024,74.2
Lambton Public Health,Diphtheria,15,2023-2024,77.5
Lambton Public Health,Diphtheria,16,2023-2024,82.3
Lambton Public Health,HepB,13,2023-2024,66.8
Lambton Public Health,HepB,14,2023-2024,60.7
Lambton Public Health,HepB,15,2023-2024,52.1
Lambton Public Health,HepB,16,2023-2024,52.7
Lambton Public Health,Hib,5,2023-2024,82.2
Lambton Public Health,Hib,6,2023-2024,79.8
Lambton Public Health,Hib,8,2023-2024,88.5
Lambton Public Health,Hib,9,2023-2024,84.8
Lambton Public Health,Hib,10,2023-2024,87.6
Lambton Public Health,Hib,11,2023-2024,85.6
Lambton Public Health,Hib,12,2023-2024,85.4
Lambton Public Health,HPV,13,2023-2024,60.1
Lambton Public Health,HPV,14,2023-2024,53.9
Lambton Public Health,HPV,15,2023-2024,45.2
Lambton Public Health,HPV,16,2023-2024,52.9
Lambton Public Health,MCC,5,2023-2024,93.8
Lambton Public Health,MCC,6,2023-2024,91.6
Lambton Public Health,MCC,8,2023-2024,96.2
Lambton Public Health,MCC,9,2023-2024,95.8
Lambton Public Health,MCC,10,2023-2024,96.3
Lambton Public Health,MCC,11,2023-2024,95.7
Lambton Public Health,MCC,12,2023-2024,96.9
Lambton Public Health,MCV4,13,2023-2024,90.7
Lambton Public Health,MCV4,14,2023-2024,91.1
Lambton Public Health,MCV4,15,2023-2024,88.4
Lambton Public Health,MCV4,16,2023-2024,92.5
Lambton Public Health,Measles,5,2023-2024,63.6
Lambton Public Health,Measles,6,2023-2024,72.8
Lambton Public Health,Measles,8,2023-2024,91.8
Lambton Public Health,Measles,9,2023-2024,90.5
Lambton Public Health,Measles,10,2023-2024,92.8
Lambton Public Health,Measles,11,2023-2024,95.2
Lambton Public Health,Measles,12,2023-2024,96
Lambton Public Health,Measles,13,2023-2024,95.8
Lambton Public Health,Measles,14,2023-2024,97
Lambton Public Health,Measles,15,2023-2024,96.3
Lambton Public Health,Measles,16,2023-2024,96.1
Lambton Public Health,Mumps,5,2023-2024,63.4
Lambton Public Health,Mumps,6,2023-2024,72.6
Lambton Public Health,Mumps,8,2023-2024,91.7
Lambton Public Health,Mumps,9,2023-2024,90.4
Lambton Public Health,Mumps,10,2023-2024,92.8
Lambton Public Health,Mumps,11,2023-2024,95.1
Lambton Public Health,Mumps,12,2023-2024,95.9
Lambton Public Health,Mumps,13,2023-2024,95.8
Lambton Public Health,Mumps,14,2023-2024,97
Lambton Public Health,Mumps,15,2023-2024,96.2
Lambton Public Health,Mumps,16,2023-2024,96.1
Lambton Public Health,Pertussis,5,2023-2024,64.1
Lambton Public Health,Pertussis,6,2023-2024,73.7
Lambton Public Health,Pertussis,8,2023-2024,91.1
Lambton Public Health,Pertussis,9,2023-2024,90.9
Lambton Public Health,Pertussis,10,2023-2024,93.2
Lambton Public Health,Pertussis,11,2023-2024,95.3
Lambton Public Health,Pertussis,12,2023-2024,96
Lambton Public Health,Pertussis,13,2023-2024,95.5
Lambton Public Health,Pertussis,14,2023-2024,74.2
Lambton Public Health,Pertussis,15,2023-2024,77.3
Lambton Public Health,Pertussis,16,2023-2024,82.2
Lambton Public Health,Pneumo,5,2023-2024,85.3
Lambton Public Health,Pneumo,6,2023-2024,82.5
Lambton Public Health,Pneumo,8,2023-2024,84.3
Lambton Public Health,Pneumo,9,2023-2024,80
Lambton Public Health,Pneumo,10,2023-2024,79.4
Lambton Public Health,Pneumo,11,2023-2024,75.2
Lambton Public Health,Pneumo,12,2023-2024,73.5
Lambton Public Health,Polio,5,2023-2024,64.6
Lambton Public Health,Polio,6,2023-2024,74.6
Lambton Public Health,Polio,8,2023-2024,91.4
Lambton Public Health,Polio,9,2023-2024,91.6
Lambton Public Health,Polio,10,2023-2024,93.3
Lambton Public Health,Polio,11,2023-2024,95.4
Lambton Public Health,Polio,12,2023-2024,96.4
Lambton Public Health,Polio,13,2023-2024,95.9
Lambton Public Health,Polio,14,2023-2024,96.4
Lambton Public Health,Polio,15,2023-2024,96.2
Lambton Public Health,Polio,16,2023-2024,95.2
Lambton Public Health,Rota,5,2023-2024,69.8
Lambton Public Health,Rota,6,2023-2024,75
Lambton Public Health,Rubella,5,2023-2024,95.3
Lambton Public Health,Rubella,6,2023-2024,93.8
Lambton Public Health,Rubella,8,2023-2024,97.4
Lambton Public Health,Rubella,9,2023-2024,96.5
Lambton Public Health,Rubella,10,2023-2024,97.5
Lambton Public Health,Rubella,11,2023-2024,97
Lambton Public Health,Rubella,12,2023-2024,97.5
Lambton Public Health,Rubella,13,2023-2024,97.2
Lambton Public Health,Rubella,14,2023-2024,98
Lambton Public Health,Rubella,15,2023-2024,97.3
Lambton Public Health,Rubella,16,2023-2024,97.5
Lambton Public Health,Tetanus,5,2023-2024,64.1
Lambton Public Health,Tetanus,6,2023-2024,74
Lambton Public Health,Tetanus,8,2023-2024,91.1
Lambton Public Health,Tetanus,9,2023-2024,91
Lambton Public Health,Tetanus,10,2023-2024,93.2
Lambton Public Health,Tetanus,11,2023-2024,95.3
Lambton Public Health,Tetanus,12,2023-2024,96
Lambton Public Health,Tetanus,13,2023-2024,95.5
Lambton Public Health,Tetanus,14,2023-2024,74.2
Lambton Public Health,Tetanus,15,2023-2024,77.4
Lambton Public Health,Tetanus,16,2023-2024,82.3
Lambton Public Health,Varicella,5,2023-2024,60.7
Lambton Public Health,Varicella,6,2023-2024,71
Lambton Public Health,Varicella,8,2023-2024,90.2
Lambton Public Health,Varicella,9,2023-2024,89.8
Lambton Public Health,Varicella,10,2023-2024,92.6
Lambton Public Health,Varicella,11,2023-2024,94
Lambton Public Health,Varicella,12,2023-2024,94.8
"Leeds, Grenville & Lanark District Health Unit",Diphtheria,17,2023-2024,45.1
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2023-2024,54.8
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2023-2024,49.9
"Leeds, Grenville & Lanark District Health Unit",Pertussis,17,2023-2024,45
"Leeds, Grenville & Lanark District Health Unit",Tetanus,17,2023-2024,45.1
"Leeds, Grenville & Lanark District Health Unit",Diphtheria,7,2023-2024,66.5
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2023-2024,67.2
"Leeds, Grenville & Lanark District Health Unit",Mumps,7,2023-2024,67.1
