Public_health_unit,Antigen,Age,Year,Number_of_Doses,Proportion
Renfrew County and District Health Unit,HPV,12,2023-2024,1 dose,10.4
Renfrew County and District Health Unit,HPV,12,2019-2020,2 doses,61.3
Renfrew County and District Health Unit,HPV,12,2020-2021,2 doses,62.3
Renfrew County and District Health Unit,HPV,12,2021-2022,2 doses,64.9
Renfrew County and District Health Unit,HPV,12,2022-2023,2 doses,68.7
Renfrew County and District Health Unit,HPV,12,2023-2024,2 doses,63.1
Renfrew County and District Health Unit,HPV,12,2019-2020,3 or more doses,0.7
Renfrew County and District Health Unit,HPV,12,2020-2021,3 or more doses,0.3
Renfrew County and District Health Unit,HPV,12,2021-2022,3 or more doses,0.1
Renfrew County and District Health Unit,HPV,12,2022-2023,3 or more doses,0.1
Renfrew County and District Health Unit,HPV,12,2023-2024,3 or more doses,0
Eastern Ontario Health Unit,Measles,7,2019-2020,0 doses,3
Eastern Ontario Health Unit,Measles,7,2020-2021,0 doses,3.5
Eastern Ontario Health Unit,Measles,7,2021-2022,0 doses,6.4
Eastern Ontario Health Unit,Measles,7,2022-2023,0 doses,13.8
Eastern Ontario Health Unit,Measles,7,2023-2024,0 doses,5.6
Eastern Ontario Health Unit,Measles,7,2019-2020,1 dose,6.7
Eastern Ontario Health Unit,Measles,7,2020-2021,1 dose,30.8
Eastern Ontario Health Unit,Measles,7,2021-2022,1 dose,37.9
Eastern Ontario Health Unit,Measles,7,2022-2023,1 dose,42.4
Eastern Ontario Health Unit,Measles,7,2023-2024,1 dose,5
Eastern Ontario Health Unit,Measles,7,2019-2020,2 or more doses,90.3
Eastern Ontario Health Unit,Measles,7,2020-2021,2 or more doses,65.7
Eastern Ontario Health Unit,Measles,7,2021-2022,2 or more doses,55.7
Eastern Ontario Health Unit,Measles,7,2022-2023,2 or more doses,43.8
Eastern Ontario Health Unit,Measles,7,2023-2024,2 or more doses,89.4
Eastern Ontario Health Unit,HepB,12,2019-2020,0 doses,13.8
Eastern Ontario Health Unit,HepB,12,2020-2021,0 doses,26.6
Eastern Ontario Health Unit,HepB,12,2021-2022,0 doses,24.6
Eastern Ontario Health Unit,HepB,12,2022-2023,0 doses,26.2
Eastern Ontario Health Unit,HepB,12,2023-2024,0 doses,27.2
Eastern Ontario Health Unit,HepB,12,2019-2020,1 dose,28.2
Eastern Ontario Health Unit,HepB,12,2020-2021,1 dose,7.5
Eastern Ontario Health Unit,HepB,12,2021-2022,1 dose,6.3
Eastern Ontario Health Unit,HepB,12,2022-2023,1 dose,7.3
Eastern Ontario Health Unit,HepB,12,2023-2024,1 dose,13.1
Eastern Ontario Health Unit,HepB,12,2019-2020,2 doses,46.5
Eastern Ontario Health Unit,HepB,12,2020-2021,2 doses,54.5
Eastern Ontario Health Unit,HepB,12,2021-2022,2 doses,59.5
Eastern Ontario Health Unit,HepB,12,2022-2023,2 doses,56.9
Eastern Ontario Health Unit,HepB,12,2023-2024,2 doses,49.1
Eastern Ontario Health Unit,HepB,12,2019-2020,3 or more doses,11.5
Eastern Ontario Health Unit,HepB,12,2020-2021,3 or more doses,11.4
Eastern Ontario Health Unit,HepB,12,2021-2022,3 or more doses,9.6
Eastern Ontario Health Unit,HepB,12,2022-2023,3 or more doses,9.6
Eastern Ontario Health Unit,HepB,12,2023-2024,3 or more doses,10.7
Eastern Ontario Health Unit,HPV,12,2019-2020,0 doses,23
Eastern Ontario Health Unit,HPV,12,2020-2021,0 doses,33.9
Eastern Ontario Health Unit,HPV,12,2021-2022,0 doses,32.2
Eastern Ontario Health Unit,HPV,12,2022-2023,0 doses,34.4
Eastern Ontario Health Unit,HPV,12,2023-2024,0 doses,36
Eastern Ontario Health Unit,HPV,12,2019-2020,1 dose,27.6
Eastern Ontario Health Unit,HPV,12,2020-2021,1 dose,7.8
Eastern Ontario Health Unit,HPV,12,2021-2022,1 dose,6.5
Eastern Ontario Health Unit,HPV,12,2022-2023,1 dose,6.6
Eastern Ontario Health Unit,HPV,12,2023-2024,1 dose,13.5
Eastern Ontario Health Unit,HPV,12,2019-2020,2 doses,48.4
Eastern Ontario Health Unit,HPV,12,2020-2021,2 doses,57.7
Eastern Ontario Health Unit,HPV,12,2021-2022,2 doses,61.1
Eastern Ontario Health Unit,HPV,12,2022-2023,2 doses,58.9
Eastern Ontario Health Unit,HPV,12,2023-2024,2 doses,50.4
Eastern Ontario Health Unit,HPV,12,2019-2020,3 or more doses,1
Eastern Ontario Health Unit,HPV,12,2020-2021,3 or more doses,0.6
Eastern Ontario Health Unit,HPV,12,2021-2022,3 or more doses,0.2
Eastern Ontario Health Unit,HPV,12,2022-2023,3 or more doses,0
Eastern Ontario Health Unit,HPV,12,2023-2024,3 or more doses,0
Simcoe Muskoka District Health Unit,Measles,7,2019-2020,0 doses,3.3
Simcoe Muskoka District Health Unit,Measles,7,2020-2021,0 doses,8
Simcoe Muskoka District Health Unit,Measles,7,2021-2022,0 doses,9.9
Simcoe Muskoka District Health Unit,Measles,7,2022-2023,0 doses,14.7
Simcoe Muskoka District Health Unit,Measles,7,2023-2024,0 doses,20.4
Simcoe Muskoka District Health Unit,Measles,7,2019-2020,1 dose,3.5
Simcoe Muskoka District Health Unit,Measles,7,2020-2021,1 dose,30.9
Simcoe Muskoka District Health Unit,Measles,7,2021-2022,1 dose,33.1
Simcoe Muskoka District Health Unit,Measles,7,2022-2023,1 dose,27.2
Simcoe Muskoka District Health Unit,Measles,7,2023-2024,1 dose,25.2
Simcoe Muskoka District Health Unit,Measles,7,2019-2020,2 or more doses,93.2
Simcoe Muskoka District Health Unit,Measles,7,2020-2021,2 or more doses,61.1
Simcoe Muskoka District Health Unit,Measles,7,2021-2022,2 or more doses,56.9
Simcoe Muskoka District Health Unit,Measles,7,2022-2023,2 or more doses,58.2
Simcoe Muskoka District Health Unit,Measles,7,2023-2024,2 or more doses,54.3
Simcoe Muskoka District Health Unit,HepB,12,2019-2020,0 doses,10.2
Simcoe Muskoka District Health Unit,HepB,12,2020-2021,0 doses,31.7
Simcoe Muskoka District Health Unit,HepB,12,2021-2022,0 doses,20.9
Simcoe Muskoka District Health Unit,HepB,12,2022-2023,0 doses,21.1
Simcoe Muskoka District Health Unit,HepB,12,2023-2024,0 doses,19.2
Simcoe Muskoka District Health Unit,HepB,12,2019-2020,1 dose,24.1
Simcoe Muskoka District Health Unit,HepB,12,2020-2021,1 dose,24.5
Simcoe Muskoka District Health Unit,HepB,12,2021-2022,1 dose,12.9
Simcoe Muskoka District Health Unit,HepB,12,2022-2023,1 dose,8.7
Simcoe Muskoka District Health Unit,HepB,12,2023-2024,1 dose,13.2
Simcoe Muskoka District Health Unit,HepB,12,2019-2020,2 doses,52.4
Simcoe Muskoka District Health Unit,HepB,12,2020-2021,2 doses,32.1
Simcoe Muskoka District Health Unit,HepB,12,2021-2022,2 doses,54.9
Simcoe Muskoka District Health Unit,HepB,12,2022-2023,2 doses,58.8
Simcoe Muskoka District Health Unit,HepB,12,2023-2024,2 doses,56.4
Simcoe Muskoka District Health Unit,HepB,12,2019-2020,3 or more doses,13.2
Simcoe Muskoka District Health Unit,HepB,12,2020-2021,3 or more doses,11.7
Simcoe Muskoka District Health Unit,HepB,12,2021-2022,3 or more doses,11.3
Simcoe Muskoka District Health Unit,HepB,12,2022-2023,3 or more doses,11.4
Simcoe Muskoka District Health Unit,HepB,12,2023-2024,3 or more doses,11.2
Simcoe Muskoka District Health Unit,HPV,12,2019-2020,0 doses,18.3
Simcoe Muskoka District Health Unit,HPV,12,2020-2021,0 doses,38.7
Simcoe Muskoka District Health Unit,HPV,12,2021-2022,0 doses,29.3
Simcoe Muskoka District Health Unit,HPV,12,2022-2023,0 doses,29.7
Simcoe Muskoka District Health Unit,HPV,12,2023-2024,0 doses,26.6
Simcoe Muskoka District Health Unit,HPV,12,2019-2020,1 dose,23.9
Simcoe Muskoka District Health Unit,HPV,12,2020-2021,1 dose,25.3
Simcoe Muskoka District Health Unit,HPV,12,2021-2022,1 dose,12.8
Simcoe Muskoka District Health Unit,HPV,12,2022-2023,1 dose,8.3
Simcoe Muskoka District Health Unit,HPV,12,2023-2024,1 dose,13.3
Simcoe Muskoka District Health Unit,HPV,12,2019-2020,2 doses,56.8
Simcoe Muskoka District Health Unit,HPV,12,2020-2021,2 doses,33.3
Simcoe Muskoka District Health Unit,HPV,12,2021-2022,2 doses,57.7
Simcoe Muskoka District Health Unit,HPV,12,2022-2023,2 doses,62
Simcoe Muskoka District Health Unit,HPV,12,2023-2024,2 doses,60
Simcoe Muskoka District Health Unit,HPV,12,2019-2020,3 or more doses,1
Simcoe Muskoka District Health Unit,HPV,12,2020-2021,3 or more doses,2.7
Simcoe Muskoka District Health Unit,HPV,12,2021-2022,3 or more doses,0.2
Simcoe Muskoka District Health Unit,HPV,12,2022-2023,3 or more doses,0
Simcoe Muskoka District Health Unit,HPV,12,2023-2024,3 or more doses,0
Public Health Sudbury & Districts,Measles,7,2019-2020,0 doses,1.7
Public Health Sudbury & Districts,Measles,7,2020-2021,0 doses,1.9
Public Health Sudbury & Districts,Measles,7,2021-2022,0 doses,2.3
Public Health Sudbury & Districts,Measles,7,2022-2023,0 doses,3.2
Public Health Sudbury & Districts,Measles,7,2023-2024,0 doses,5.5
Public Health Sudbury & Districts,Measles,7,2019-2020,1 dose,6.9
Public Health Sudbury & Districts,Measles,7,2020-2021,1 dose,12.6
Public Health Sudbury & Districts,Measles,7,2021-2022,1 dose,17
Public Health Sudbury & Districts,Measles,7,2022-2023,1 dose,13.8
Public Health Sudbury & Districts,Measles,7,2023-2024,1 dose,18.3
Public Health Sudbury & Districts,Measles,7,2019-2020,2 or more doses,91.3
Public Health Sudbury & Districts,Measles,7,2020-2021,2 or more doses,85.5
Public Health Sudbury & Districts,Measles,7,2021-2022,2 or more doses,80.7
Public Health Sudbury & Districts,Measles,7,2022-2023,2 or more doses,82.9
Public Health Sudbury & Districts,Measles,7,2023-2024,2 or more doses,76.2
Public Health Sudbury & Districts,HepB,12,2019-2020,0 doses,9
Public Health Sudbury & Districts,HepB,12,2020-2021,0 doses,18.3
Public Health Sudbury & Districts,HepB,12,2021-2022,0 doses,13.9
Public Health Sudbury & Districts,HepB,12,2022-2023,0 doses,20.2
Public Health Sudbury & Districts,HepB,12,2023-2024,0 doses,25.3
Public Health Sudbury & Districts,HepB,12,2019-2020,1 dose,23.2
Public Health Sudbury & Districts,HepB,12,2020-2021,1 dose,21
Public Health Sudbury & Districts,HepB,12,2021-2022,1 dose,11.4
Public Health Sudbury & Districts,HepB,12,2022-2023,1 dose,10.2
Public Health Sudbury & Districts,HepB,12,2023-2024,1 dose,16.2
Public Health Sudbury & Districts,HepB,12,2019-2020,2 doses,54.9
Public Health Sudbury & Districts,HepB,12,2020-2021,2 doses,50
Public Health Sudbury & Districts,HepB,12,2021-2022,2 doses,65.9
Public Health Sudbury & Districts,HepB,12,2022-2023,2 doses,57.9
Public Health Sudbury & Districts,HepB,12,2023-2024,2 doses,49
Public Health Sudbury & Districts,HepB,12,2019-2020,3 or more doses,12.8
Public Health Sudbury & Districts,HepB,12,2020-2021,3 or more doses,10.7
Public Health Sudbury & Districts,HepB,12,2021-2022,3 or more doses,8.8
Public Health Sudbury & Districts,HepB,12,2022-2023,3 or more doses,11.7
Public Health Sudbury & Districts,HepB,12,2023-2024,3 or more doses,9.5
Public Health Sudbury & Districts,HPV,12,2019-2020,0 doses,16.4
Public Health Sudbury & Districts,HPV,12,2020-2021,0 doses,23.8
Public Health Sudbury & Districts,HPV,12,2021-2022,0 doses,21.4
Public Health Sudbury & Districts,HPV,12,2022-2023,0 doses,29.5
Public Health Sudbury & Districts,HPV,12,2023-2024,0 doses,33.2
Public Health Sudbury & Districts,HPV,12,2019-2020,1 dose,21.2
Public Health Sudbury & Districts,HPV,12,2020-2021,1 dose,20.2
Public Health Sudbury & Districts,HPV,12,2021-2022,1 dose,10.9
Public Health Sudbury & Districts,HPV,12,2022-2023,1 dose,9.8
Public Health Sudbury & Districts,HPV,12,2023-2024,1 dose,15.3
Public Health Sudbury & Districts,HPV,12,2019-2020,2 doses,61.3
Public Health Sudbury & Districts,HPV,12,2020-2021,2 doses,55
Public Health Sudbury & Districts,HPV,12,2021-2022,2 doses,67.4
Public Health Sudbury & Districts,HPV,12,2022-2023,2 doses,60.3
Public Health Sudbury & Districts,HPV,12,2023-2024,2 doses,51.4
Public Health Sudbury & Districts,HPV,12,2019-2020,3 or more doses,1.1
Public Health Sudbury & Districts,HPV,12,2020-2021,3 or more doses,1.1
Public Health Sudbury & Districts,HPV,12,2021-2022,3 or more doses,0.3
Public Health Sudbury & Districts,HPV,12,2022-2023,3 or more doses,0.4
Public Health Sudbury & Districts,HPV,12,2023-2024,3 or more doses,0
Thunder Bay District Health Unit,Measles,7,2019-2020,0 doses,2.7
Thunder Bay District Health Unit,Measles,7,2020-2021,0 doses,2.5
Thunder Bay District Health Unit,Measles,7,2021-2022,0 doses,5.1
Thunder Bay District Health Unit,Measles,7,2022-2023,0 doses,7.5
Thunder Bay District Health Unit,Measles,7,2023-2024,0 doses,5.7
Thunder Bay District Health Unit,Measles,7,2019-2020,1 dose,6.3
Thunder Bay District Health Unit,Measles,7,2020-2021,1 dose,17.9
Thunder Bay District Health Unit,Measles,7,2021-2022,1 dose,21.3
Thunder Bay District Health Unit,Measles,7,2022-2023,1 dose,18.2
Thunder Bay District Health Unit,Measles,7,2023-2024,1 dose,7
Thunder Bay District Health Unit,Measles,7,2019-2020,2 or more doses,91
Thunder Bay District Health Unit,Measles,7,2020-2021,2 or more doses,79.6
Thunder Bay District Health Unit,Measles,7,2021-2022,2 or more doses,73.5
Thunder Bay District Health Unit,Measles,7,2022-2023,2 or more doses,74.3
Thunder Bay District Health Unit,Measles,7,2023-2024,2 or more doses,87.3
Thunder Bay District Health Unit,HepB,12,2019-2020,0 doses,11.9
Thunder Bay District Health Unit,HepB,12,2020-2021,0 doses,15.5
Thunder Bay District Health Unit,HepB,12,2021-2022,0 doses,15.2
Thunder Bay District Health Unit,HepB,12,2022-2023,0 doses,19.9
Thunder Bay District Health Unit,HepB,12,2023-2024,0 doses,28.7
Thunder Bay District Health Unit,HepB,12,2019-2020,1 dose,15.5
Thunder Bay District Health Unit,HepB,12,2020-2021,1 dose,21.3
Thunder Bay District Health Unit,HepB,12,2021-2022,1 dose,15
Thunder Bay District Health Unit,HepB,12,2022-2023,1 dose,13.9
Thunder Bay District Health Unit,HepB,12,2023-2024,1 dose,18.6
Thunder Bay District Health Unit,HepB,12,2019-2020,2 doses,60.6
Thunder Bay District Health Unit,HepB,12,2020-2021,2 doses,52.3
Thunder Bay District Health Unit,HepB,12,2021-2022,2 doses,59.7
Thunder Bay District Health Unit,HepB,12,2022-2023,2 doses,55.3
Thunder Bay District Health Unit,HepB,12,2023-2024,2 doses,44.1
Thunder Bay District Health Unit,HepB,12,2019-2020,3 or more doses,12
Thunder Bay District Health Unit,HepB,12,2020-2021,3 or more doses,10.9
Thunder Bay District Health Unit,HepB,12,2021-2022,3 or more doses,10.1
Thunder Bay District Health Unit,HepB,12,2022-2023,3 or more doses,10.9
Thunder Bay District Health Unit,HepB,12,2023-2024,3 or more doses,8.6
Thunder Bay District Health Unit,HPV,12,2019-2020,0 doses,18
Thunder Bay District Health Unit,HPV,12,2020-2021,0 doses,21.5
Thunder Bay District Health Unit,HPV,12,2021-2022,0 doses,21.4
Thunder Bay District Health Unit,HPV,12,2022-2023,0 doses,26.3
Thunder Bay District Health Unit,HPV,12,2023-2024,0 doses,33.7
Thunder Bay District Health Unit,HPV,12,2019-2020,1 dose,15.4
Thunder Bay District Health Unit,HPV,12,2020-2021,1 dose,20.6
Thunder Bay District Health Unit,HPV,12,2021-2022,1 dose,15
Thunder Bay District Health Unit,HPV,12,2022-2023,1 dose,12.9
Thunder Bay District Health Unit,HPV,12,2023-2024,1 dose,20.3
Thunder Bay District Health Unit,HPV,12,2019-2020,2 doses,64.4
Thunder Bay District Health Unit,HPV,12,2020-2021,2 doses,57
Thunder Bay District Health Unit,HPV,12,2021-2022,2 doses,63.1
Thunder Bay District Health Unit,HPV,12,2022-2023,2 doses,60.4
Thunder Bay District Health Unit,HPV,12,2023-2024,2 doses,46
Thunder Bay District Health Unit,HPV,12,2019-2020,3 or more doses,2.2
Thunder Bay District Health Unit,HPV,12,2020-2021,3 or more doses,0.9
Thunder Bay District Health Unit,HPV,12,2021-2022,3 or more doses,0.5
Thunder Bay District Health Unit,HPV,12,2022-2023,3 or more doses,0.3
Thunder Bay District Health Unit,HPV,12,2023-2024,3 or more doses,0
Timiskaming Health Unit,Measles,7,2019-2020,0 doses,1.6
Timiskaming Health Unit,Measles,7,2020-2021,0 doses,1.5
Timiskaming Health Unit,Measles,7,2021-2022,0 doses,5.1
Timiskaming Health Unit,Measles,7,2022-2023,0 doses,3.2
Timiskaming Health Unit,Measles,7,2023-2024,0 doses,4.6
Timiskaming Health Unit,Measles,7,2019-2020,1 dose,12.2
Timiskaming Health Unit,Measles,7,2020-2021,1 dose,7.4
Timiskaming Health Unit,Measles,7,2021-2022,1 dose,7.4
Timiskaming Health Unit,Measles,7,2022-2023,1 dose,9
Timiskaming Health Unit,Measles,7,2023-2024,1 dose,5.4
Timiskaming Health Unit,Measles,7,2019-2020,2 or more doses,86.2
Timiskaming Health Unit,Measles,7,2020-2021,2 or more doses,91.2
Timiskaming Health Unit,Measles,7,2021-2022,2 or more doses,87.5
Timiskaming Health Unit,Measles,7,2022-2023,2 or more doses,87.8
Timiskaming Health Unit,Measles,7,2023-2024,2 or more doses,90
Timiskaming Health Unit,HepB,12,2019-2020,0 doses,8.2
Timiskaming Health Unit,HepB,12,2020-2021,0 doses,9.3
Timiskaming Health Unit,HepB,12,2021-2022,0 doses,16.4
Timiskaming Health Unit,HepB,12,2022-2023,0 doses,14
Timiskaming Health Unit,HepB,12,2023-2024,0 doses,19.9
Timiskaming Health Unit,HepB,12,2019-2020,1 dose,4.8
Timiskaming Health Unit,HepB,12,2020-2021,1 dose,3.8
Timiskaming Health Unit,HepB,12,2021-2022,1 dose,3.9
Timiskaming Health Unit,HepB,12,2022-2023,1 dose,7.1
Timiskaming Health Unit,HepB,12,2023-2024,1 dose,16.3
Timiskaming Health Unit,HepB,12,2019-2020,2 doses,75
Timiskaming Health Unit,HepB,12,2020-2021,2 doses,75.3
Timiskaming Health Unit,HepB,12,2021-2022,2 doses,71.8
Timiskaming Health Unit,HepB,12,2022-2023,2 doses,72
Timiskaming Health Unit,HepB,12,2023-2024,2 doses,54.9
Timiskaming Health Unit,HepB,12,2019-2020,3 or more doses,12
Timiskaming Health Unit,HepB,12,2020-2021,3 or more doses,11.5
Timiskaming Health Unit,HepB,12,2021-2022,3 or more doses,7.9
Timiskaming Health Unit,HepB,12,2022-2023,3 or more doses,6.8
Timiskaming Health Unit,HepB,12,2023-2024,3 or more doses,8.9
Timiskaming Health Unit,HPV,12,2019-2020,0 doses,21.6
Timiskaming Health Unit,HPV,12,2020-2021,0 doses,20.5
Timiskaming Health Unit,HPV,12,2021-2022,0 doses,23.3
Timiskaming Health Unit,HPV,12,2022-2023,0 doses,21.7
Timiskaming Health Unit,HPV,12,2023-2024,0 doses,28.5
Timiskaming Health Unit,HPV,12,2019-2020,1 dose,4.8
Timiskaming Health Unit,HPV,12,2020-2021,1 dose,4.5
Timiskaming Health Unit,HPV,12,2021-2022,1 dose,3.6
Timiskaming Health Unit,HPV,12,2022-2023,1 dose,5.1
Timiskaming Health Unit,HPV,12,2023-2024,1 dose,15.7
Timiskaming Health Unit,HPV,12,2019-2020,2 doses,71.2
Timiskaming Health Unit,HPV,12,2020-2021,2 doses,74.7
Timiskaming Health Unit,HPV,12,2021-2022,2 doses,73
Timiskaming Health Unit,HPV,12,2022-2023,2 doses,73.2
Timiskaming Health Unit,HPV,12,2023-2024,2 doses,55.8
Timiskaming Health Unit,HPV,12,2019-2020,3 or more doses,2.4
Timiskaming Health Unit,HPV,12,2020-2021,3 or more doses,0.3
Timiskaming Health Unit,HPV,12,2021-2022,3 or more doses,0
Timiskaming Health Unit,HPV,12,2022-2023,3 or more doses,0
Timiskaming Health Unit,HPV,12,2023-2024,3 or more doses,0
Region of Waterloo Public Health and Paramedic Services,Measles,7,2019-2020,0 doses,3.2
Region of Waterloo Public Health and Paramedic Services,Measles,7,2020-2021,0 doses,3.5
Region of Waterloo Public Health and Paramedic Services,Measles,7,2021-2022,0 doses,4.5
Region of Waterloo Public Health and Paramedic Services,Measles,7,2022-2023,0 doses,6
Region of Waterloo Public Health and Paramedic Services,Measles,7,2023-2024,0 doses,7.8
Region of Waterloo Public Health and Paramedic Services,Measles,7,2019-2020,1 dose,7.4
Region of Waterloo Public Health and Paramedic Services,Measles,7,2020-2021,1 dose,13.7
Region of Waterloo Public Health and Paramedic Services,Measles,7,2021-2022,1 dose,14.3
Region of Waterloo Public Health and Paramedic Services,Measles,7,2022-2023,1 dose,13.4
Region of Waterloo Public Health and Paramedic Services,Measles,7,2023-2024,1 dose,6.8
Region of Waterloo Public Health and Paramedic Services,Measles,7,2019-2020,2 or more doses,89.4
Region of Waterloo Public Health and Paramedic Services,Measles,7,2020-2021,2 or more doses,82.7
Region of Waterloo Public Health and Paramedic Services,Measles,7,2021-2022,2 or more doses,81.1
Region of Waterloo Public Health and Paramedic Services,Measles,7,2022-2023,2 or more doses,80.6
Region of Waterloo Public Health and Paramedic Services,Measles,7,2023-2024,2 or more doses,85.4
Region of Waterloo Public Health and Paramedic Services,HepB,12,2019-2020,0 doses,11.1
Region of Waterloo Public Health and Paramedic Services,HepB,12,2020-2021,0 doses,29.6
Region of Waterloo Public Health and Paramedic Services,HepB,12,2021-2022,0 doses,28.7
Region of Waterloo Public Health and Paramedic Services,HepB,12,2022-2023,0 doses,15.1
Region of Waterloo Public Health and Paramedic Services,HepB,12,2023-2024,0 doses,23.7
Region of Waterloo Public Health and Paramedic Services,HepB,12,2019-2020,1 dose,26.4
Region of Waterloo Public Health and Paramedic Services,HepB,12,2020-2021,1 dose,20.8
Region of Waterloo Public Health and Paramedic Services,HepB,12,2021-2022,1 dose,23.2
Region of Waterloo Public Health and Paramedic Services,HepB,12,2022-2023,1 dose,11.2
Region of Waterloo Public Health and Paramedic Services,HepB,12,2023-2024,1 dose,12.4
Region of Waterloo Public Health and Paramedic Services,HepB,12,2019-2020,2 doses,41.3
Region of Waterloo Public Health and Paramedic Services,HepB,12,2020-2021,2 doses,30.6
Region of Waterloo Public Health and Paramedic Services,HepB,12,2021-2022,2 doses,29
Region of Waterloo Public Health and Paramedic Services,HepB,12,2022-2023,2 doses,52.7
Region of Waterloo Public Health and Paramedic Services,HepB,12,2023-2024,2 doses,41.8
Region of Waterloo Public Health and Paramedic Services,HepB,12,2019-2020,3 or more doses,21.2
Region of Waterloo Public Health and Paramedic Services,HepB,12,2020-2021,3 or more doses,19
Region of Waterloo Public Health and Paramedic Services,HepB,12,2021-2022,3 or more doses,19
Region of Waterloo Public Health and Paramedic Services,HepB,12,2022-2023,3 or more doses,21
Region of Waterloo Public Health and Paramedic Services,HepB,12,2023-2024,3 or more doses,22.2
Region of Waterloo Public Health and Paramedic Services,HPV,12,2019-2020,0 doses,20.8
Region of Waterloo Public Health and Paramedic Services,HPV,12,2020-2021,0 doses,40.7
Region of Waterloo Public Health and Paramedic Services,HPV,12,2021-2022,0 doses,40.7
Region of Waterloo Public Health and Paramedic Services,HPV,12,2022-2023,0 doses,26.3
Region of Waterloo Public Health and Paramedic Services,HPV,12,2023-2024,0 doses,35.5
Region of Waterloo Public Health and Paramedic Services,HPV,12,2019-2020,1 dose,30.6
Region of Waterloo Public Health and Paramedic Services,HPV,12,2020-2021,1 dose,24.3
Region of Waterloo Public Health and Paramedic Services,HPV,12,2021-2022,1 dose,27
Region of Waterloo Public Health and Paramedic Services,HPV,12,2022-2023,1 dose,12.6
Region of Waterloo Public Health and Paramedic Services,HPV,12,2023-2024,1 dose,15.2
Region of Waterloo Public Health and Paramedic Services,HPV,12,2019-2020,2 doses,47.3
Region of Waterloo Public Health and Paramedic Services,HPV,12,2020-2021,2 doses,34.1
Region of Waterloo Public Health and Paramedic Services,HPV,12,2021-2022,2 doses,32
Region of Waterloo Public Health and Paramedic Services,HPV,12,2022-2023,2 doses,60.2
Region of Waterloo Public Health and Paramedic Services,HPV,12,2023-2024,2 doses,49.2
Region of Waterloo Public Health and Paramedic Services,HPV,12,2019-2020,3 or more doses,1.3
Region of Waterloo Public Health and Paramedic Services,HPV,12,2020-2021,3 or more doses,0.8
Region of Waterloo Public Health and Paramedic Services,HPV,12,2021-2022,3 or more doses,0.3
Region of Waterloo Public Health and Paramedic Services,HPV,12,2022-2023,3 or more doses,1
Region of Waterloo Public Health and Paramedic Services,HPV,12,2023-2024,3 or more doses,0.1
Wellington-Dufferin-Guelph Public Health,Measles,7,2019-2020,0 doses,2.9
Wellington-Dufferin-Guelph Public Health,Measles,7,2020-2021,0 doses,3
Wellington-Dufferin-Guelph Public Health,Measles,7,2021-2022,0 doses,3.3
Wellington-Dufferin-Guelph Public Health,Measles,7,2022-2023,0 doses,3.8
Wellington-Dufferin-Guelph Public Health,Measles,7,2023-2024,0 doses,4.5
Wellington-Dufferin-Guelph Public Health,Measles,7,2019-2020,1 dose,2.7
Wellington-Dufferin-Guelph Public Health,Measles,7,2020-2021,1 dose,15.1
Wellington-Dufferin-Guelph Public Health,Measles,7,2021-2022,1 dose,12
Wellington-Dufferin-Guelph Public Health,Measles,7,2022-2023,1 dose,8.6
Wellington-Dufferin-Guelph Public Health,Measles,7,2023-2024,1 dose,5.1
Wellington-Dufferin-Guelph Public Health,Measles,7,2019-2020,2 or more doses,94.4
Wellington-Dufferin-Guelph Public Health,Measles,7,2020-2021,2 or more doses,81.9
Wellington-Dufferin-Guelph Public Health,Measles,7,2021-2022,2 or more doses,84.7
Wellington-Dufferin-Guelph Public Health,Measles,7,2022-2023,2 or more doses,87.7
Wellington-Dufferin-Guelph Public Health,Measles,7,2023-2024,2 or more doses,90.5
Wellington-Dufferin-Guelph Public Health,HepB,12,2019-2020,0 doses,7.5
Wellington-Dufferin-Guelph Public Health,HepB,12,2020-2021,0 doses,11.7
Wellington-Dufferin-Guelph Public Health,HepB,12,2021-2022,0 doses,11.7
Wellington-Dufferin-Guelph Public Health,HepB,12,2022-2023,0 doses,14.1
Wellington-Dufferin-Guelph Public Health,HepB,12,2023-2024,0 doses,21.3
Wellington-Dufferin-Guelph Public Health,HepB,12,2019-2020,1 dose,9.9
Wellington-Dufferin-Guelph Public Health,HepB,12,2020-2021,1 dose,8.2
Wellington-Dufferin-Guelph Public Health,HepB,12,2021-2022,1 dose,7.1
Wellington-Dufferin-Guelph Public Health,HepB,12,2022-2023,1 dose,10.7
Wellington-Dufferin-Guelph Public Health,HepB,12,2023-2024,1 dose,16.7
Wellington-Dufferin-Guelph Public Health,HepB,12,2019-2020,2 doses,64.6
Wellington-Dufferin-Guelph Public Health,HepB,12,2020-2021,2 doses,65.2
Wellington-Dufferin-Guelph Public Health,HepB,12,2021-2022,2 doses,66.1
Wellington-Dufferin-Guelph Public Health,HepB,12,2022-2023,2 doses,62.2
Wellington-Dufferin-Guelph Public Health,HepB,12,2023-2024,2 doses,48.1
Wellington-Dufferin-Guelph Public Health,HepB,12,2019-2020,3 or more doses,17.9
Wellington-Dufferin-Guelph Public Health,HepB,12,2020-2021,3 or more doses,14.9
Wellington-Dufferin-Guelph Public Health,HepB,12,2021-2022,3 or more doses,15.1
Wellington-Dufferin-Guelph Public Health,HepB,12,2022-2023,3 or more doses,13.1
Wellington-Dufferin-Guelph Public Health,HepB,12,2023-2024,3 or more doses,13.9
Wellington-Dufferin-Guelph Public Health,HPV,12,2019-2020,0 doses,17.4
